"siteID","S_Training","E_Training","S_Testing","E_Testing"
"us799",1981-01-01,2011-08-29,2011-08-30,2019-12-31
"us833",1981-01-01,2014-11-16,2014-11-17,2019-12-31
"us853",1981-01-01,2015-10-05,2015-10-06,2019-12-31
"us855",1981-01-01,2016-11-30,2016-12-01,2019-12-31
"us859",1981-01-01,2015-10-27,2015-10-28,2019-12-31
"us865",1981-01-01,2004-08-16,2004-08-17,2019-12-31
"us866",1981-01-01,2015-12-02,2015-12-03,2019-12-31
"us879",1981-01-01,2012-11-12,2012-11-13,2019-12-31
"us881",1981-01-01,2015-10-14,2015-10-15,2019-12-31
"us891",1981-01-01,2016-11-20,2016-11-21,2019-12-31
"us892",1981-01-01,2016-05-31,2016-06-01,2019-12-31
"us893",1981-01-01,2015-12-14,2015-12-15,2019-12-31
"us894",1981-01-01,2015-10-12,2015-10-13,2019-12-31
"us904",1981-01-01,2016-12-06,2016-12-07,2019-12-31
"us945",1981-01-01,2015-02-01,2015-02-02,2019-12-31
"us997",1981-01-01,2008-05-11,2008-05-12,2019-12-31
"us1005",1981-01-01,2018-03-04,2018-03-05,2019-12-31
"us1019",1981-01-01,2015-05-10,2015-05-11,2019-12-31
"us1025",1981-01-01,2016-05-10,2016-05-11,2019-12-31
"us1029",1981-01-01,2016-05-22,2016-05-23,2019-12-31
"us1037",1981-01-01,2002-06-09,2002-06-10,2019-12-31
"us1042",1981-01-01,2016-10-18,2016-10-19,2019-12-31
"us1049",1981-01-01,2016-05-22,2016-05-23,2019-12-31
"us1059",1981-01-01,2014-07-16,2014-07-17,2019-12-31
"us1064",1981-01-01,2014-07-16,2014-07-17,2019-12-31
"us1072",1981-01-01,2017-06-14,2017-06-15,2019-12-31
"us1102",1981-01-01,2016-11-07,2016-11-08,2019-12-31
"us1103",1981-01-01,2016-11-07,2016-11-08,2019-12-31
"us1105",1981-01-01,2017-02-27,2017-02-28,2019-12-31
"us1112",1981-01-01,2015-06-19,2015-06-20,2019-12-31
"us1113",1981-01-01,2015-05-18,2015-05-19,2019-12-31
"us1122",1981-01-01,2016-11-08,2016-11-09,2019-12-31
"us1126",1981-01-01,2017-02-27,2017-02-28,2019-12-31
"us1128",1981-01-01,2014-12-16,2014-12-17,2019-12-31
"us1129",1981-01-01,2015-05-12,2015-05-13,2019-12-31
"us1130",1981-01-01,2009-07-07,2009-07-08,2019-12-31
"us1147",1981-01-01,2016-06-16,2016-06-17,2019-12-31
"us1148",1981-01-01,2008-10-14,2008-10-15,2019-12-31
"us1157",1981-01-01,2016-10-17,2016-10-18,2019-12-31
"us1162",1981-01-01,2007-10-08,2007-10-09,2019-12-31
"us1168",1981-01-01,2008-01-28,2008-01-29,2019-12-31
"us1190",1981-01-01,2016-12-01,2016-12-02,2019-12-31
"us1207",1981-01-01,2008-04-14,2008-04-15,2019-12-31
"us1216",1981-01-01,2008-09-07,2008-09-08,2019-12-31
"us1217",1981-01-01,2015-10-01,2015-10-02,2019-12-31
"us1286",1981-01-01,1994-04-17,1994-04-18,2019-12-31
"us1291",1981-01-01,2012-04-18,2012-04-19,2019-12-31
"us1295",1981-01-01,2007-03-06,2007-03-07,2019-12-31
"us1296",1981-01-01,2007-05-29,2007-05-30,2019-12-31
"us1297",1981-01-01,2007-04-15,2007-04-16,2019-12-31
"us1300",1981-01-01,2005-12-14,2005-12-15,2019-12-31
"us1314",1981-01-01,2015-12-28,2015-12-29,2019-12-31
"us1323",1981-01-01,2013-11-20,2013-11-21,2019-12-31
"us1326",1981-01-01,2015-06-03,2015-06-04,2019-12-31
"us1347",1981-01-01,2011-05-31,2011-06-01,2019-12-31
"us1354",1981-01-01,2010-12-02,2010-12-03,2019-12-31
"us1356",1981-01-01,2014-10-22,2014-10-23,2019-12-31
"us1568",1981-01-01,2005-03-22,2005-03-23,2019-12-31
"us1573",1981-01-01,2008-06-02,2008-06-03,2019-12-31
"us1581",1981-01-01,2005-09-26,2005-09-27,2019-12-31
"us1582",1981-01-01,2014-06-23,2014-06-24,2019-12-31
"us1585",1981-01-01,2012-05-22,2012-05-23,2019-12-31
"us1640",1981-01-01,2015-08-10,2015-08-11,2019-12-31
"us1641",1981-01-01,2017-04-17,2017-04-18,2019-12-31
"us1643",1981-01-01,2012-02-13,2012-02-14,2019-12-31
"us1646",1981-01-01,2012-04-17,2012-04-18,2019-12-31
"us1647",1981-01-01,1999-03-04,1999-03-05,2019-12-31
"us1648",1981-01-01,2014-05-14,2014-05-15,2019-12-31
"us1649",1981-01-01,2012-04-09,2012-04-10,2019-12-31
"us1651",1981-01-01,2011-11-03,2011-11-04,2019-12-31
"us1652",1981-01-01,2007-03-04,2007-03-05,2019-12-31
"us1653",1981-01-01,2008-01-31,2008-02-01,2019-12-31
"us1655",1981-01-01,2011-10-23,2011-10-24,2019-12-31
"us1658",1981-01-01,2012-08-20,2012-08-21,2019-12-31
"us1659",1981-01-01,2013-02-21,2013-02-22,2019-12-31
"us1668",1981-01-01,2016-11-14,2016-11-15,2019-12-31
"us1670",1981-01-01,2012-01-11,2012-01-12,2019-12-31
"us1680",1981-01-01,2013-09-10,2013-09-11,2019-12-31
"us1789",1981-01-01,2004-08-08,2004-08-09,2019-12-31
"us1792",1981-01-01,2008-04-22,2008-04-23,2019-12-31
"us1829",1981-01-01,2004-08-10,2004-08-11,2019-12-31
"us1842",1981-01-01,2013-02-06,2013-02-07,2019-12-31
"us1857",1981-01-01,2003-11-19,2003-11-20,2019-12-31
"us1863",1981-01-01,2007-12-04,2007-12-05,2019-12-31
"us1867",1981-01-01,2003-09-08,2003-09-09,2019-12-31
"us1870",1981-01-01,2006-07-02,2006-07-03,2019-12-31
"us1883",1981-01-01,2002-09-17,2002-09-18,2019-12-31
"us1897",1981-01-01,2004-04-25,2004-04-26,2019-12-31
"us1907",1981-01-01,2006-11-20,2006-11-21,2019-12-31
"us1915",1981-01-01,2012-06-10,2012-06-11,2019-12-31
"us1924",1981-01-01,2001-11-19,2001-11-20,2019-12-31
"us1971",1981-01-01,2012-09-29,2012-09-30,2019-12-31
"us1973",1981-01-01,2012-09-17,2012-09-18,2019-12-31
"us1975",1981-01-01,2007-06-14,2007-06-15,2019-12-31
"us1977",1981-01-01,2007-04-10,2007-04-11,2019-12-31
"us1985",1981-01-01,2015-02-26,2015-02-27,2019-12-31
"us1989",1981-01-01,2016-10-31,2016-11-01,2019-12-31
"us1990",1981-01-01,2017-08-07,2017-08-08,2019-12-31
"us1991",1981-01-01,2013-11-04,2013-11-05,2019-12-31
"us1992",1981-01-01,2015-08-24,2015-08-25,2019-12-31
"us1993",1981-01-01,2006-12-18,2006-12-19,2019-12-31
"us1995",1981-01-01,2016-10-31,2016-11-01,2019-12-31
"us2002",1981-01-01,2016-06-13,2016-06-14,2019-12-31
"us2005",1981-01-01,2010-11-21,2010-11-22,2019-12-31
"us2006",1981-01-01,2012-03-11,2012-03-12,2019-12-31
"us2007",1981-01-01,2017-06-11,2017-06-12,2019-12-31
"us2008",1981-01-01,2014-02-09,2014-02-10,2019-12-31
"us2040",1981-01-01,2015-04-06,2015-04-07,2019-12-31
"us2042",1981-01-01,2005-05-24,2005-05-25,2019-12-31
"us2049",1981-01-01,2014-03-18,2014-03-19,2019-12-31
"us2057",1981-01-01,2015-02-02,2015-02-03,2019-12-31
"us2066",1981-01-01,2016-08-24,2016-08-25,2019-12-31
"us2115",1981-01-01,2015-03-11,2015-03-12,2019-12-31
"us2116",1981-01-01,2015-08-16,2015-08-17,2019-12-31
"us2127",1981-01-01,2012-01-17,2012-01-18,2019-12-31
"us2145",1981-01-01,2014-01-13,2014-01-14,2019-12-31
"us2146",1981-01-01,2015-03-02,2015-03-03,2019-12-31
"us2148",1981-01-01,2014-12-01,2014-12-02,2019-12-31
"us2184",1981-01-01,2013-06-11,2013-06-12,2019-12-31
"us2207",1981-01-01,2007-09-10,2007-09-11,2019-12-31
"us2210",1981-01-01,2009-12-06,2009-12-07,2019-12-31
"us2346",1981-01-01,2016-04-26,2016-04-27,2019-12-31
"us2349",1981-01-01,2015-09-15,2015-09-16,2019-12-31
"us2374",1981-01-01,2016-10-12,2016-10-13,2019-12-31
"us2377",1981-01-01,2016-06-19,2016-06-20,2019-12-31
"us2387",1981-01-01,2015-11-22,2015-11-23,2019-12-31
"us2426",1981-01-01,2015-08-04,2015-08-05,2019-12-31
"us2437",1981-01-01,2016-05-24,2016-05-25,2019-12-31
"us2445",1981-01-01,2014-09-14,2014-09-15,2019-12-31
"us2449",1981-01-01,2012-12-05,2012-12-06,2019-12-31
"us2471",1981-01-01,2015-10-26,2015-10-27,2019-12-31
"us2472",1981-01-01,2015-09-07,2015-09-08,2019-12-31
"us2475",1981-01-01,2015-09-07,2015-09-08,2019-12-31
"us2477",1981-01-01,2016-08-07,2016-08-08,2019-12-31
"us2479",1981-01-01,2015-09-13,2015-09-14,2019-12-31
"us2480",1981-01-01,2015-05-26,2015-05-27,2019-12-31
"us2481",1981-01-01,2015-07-19,2015-07-20,2019-12-31
"us2665",1981-01-01,2013-05-29,2013-05-30,2019-12-31
"us2800",1981-01-01,1993-06-09,1993-06-10,2019-12-31
"us2922",1981-01-01,1995-03-28,1995-03-29,2019-12-31
"us2926",1981-01-01,1994-09-05,1994-09-06,2019-12-31
"us2927",1981-01-01,1994-08-09,1994-08-10,2019-12-31
"us2945",1981-01-01,1994-02-16,1994-02-17,2019-12-31
"us2946",1981-01-01,1994-05-17,1994-05-18,2019-12-31
"us2991",1981-01-01,2010-09-06,2010-09-07,2019-12-31
"us3038",1981-01-01,1994-05-10,1994-05-11,2019-12-31
"us3039",1981-01-01,1994-05-16,1994-05-17,2019-12-31
"us3041",1981-01-01,1994-04-18,1994-04-19,2019-12-31
"us3045",1981-01-01,1994-04-05,1994-04-06,2019-12-31
"us3141",1981-01-01,2008-06-03,2008-06-04,2019-12-31
"us3145",1981-01-01,2004-02-17,2004-02-18,2019-12-31
"us3250",1981-01-01,2007-07-04,2007-07-05,2019-12-31
"us3308",1981-01-01,2015-12-01,2015-12-02,2019-12-31
"us3326",1981-01-01,2016-04-10,2016-04-11,2019-12-31
"us3352",1981-01-01,2015-06-29,2015-06-30,2019-12-31
"us3363",1981-01-01,2016-03-13,2016-03-14,2019-12-31
"us3374",1981-01-01,2017-09-10,2017-09-11,2019-12-31
"us3451",1981-01-01,2015-08-17,2015-08-18,2019-12-31
"us3501",1981-01-01,2009-08-09,2009-08-10,2019-12-31
"us3536",1981-01-01,2011-12-04,2011-12-05,2019-12-31
"us3544",1981-01-01,2015-12-20,2015-12-21,2019-12-31
"us3568",1981-01-01,2002-09-03,2002-09-04,2019-12-31
"us3582",1981-01-01,2016-08-28,2016-08-29,2019-12-31
"us3589",1981-01-01,2015-09-23,2015-09-24,2019-12-31
"us3608",1981-01-01,2015-07-20,2015-07-21,2019-12-31
"us3627",1981-01-01,2008-03-30,2008-03-31,2019-12-31
"us3636",1981-01-01,2014-05-21,2014-05-22,2019-12-31
"us3659",1981-01-01,2015-08-18,2015-08-19,2019-12-31
"us3670",1981-01-01,2017-06-30,2017-07-01,2019-12-31
"us3726",1981-01-01,2015-08-02,2015-08-03,2019-12-31
"us3728",1981-01-01,2016-06-05,2016-06-06,2019-12-31
"us3735",1981-01-01,2005-07-05,2005-07-06,2019-12-31
"us3746",1981-01-01,2012-06-25,2012-06-26,2019-12-31
"us3801",1981-01-01,2016-01-05,2016-01-06,2019-12-31
"us3806",1981-01-01,2015-04-05,2015-04-06,2019-12-31
"us3807",1981-01-01,2013-11-03,2013-11-04,2019-12-31
"us3818",1981-01-01,1994-02-13,1994-02-14,2019-12-31
"us3834",1981-01-01,2016-08-02,2016-08-03,2019-12-31
"us3845",1981-01-01,2016-05-22,2016-05-23,2019-12-31
"us3848",1981-01-01,2016-05-22,2016-05-23,2019-12-31
"us3853",1981-01-01,2016-04-10,2016-04-11,2019-12-31
"us3861",1981-01-01,2016-09-11,2016-09-12,2019-12-31
"us3863",1981-01-01,2016-08-28,2016-08-29,2019-12-31
"us3864",1981-01-01,2016-07-11,2016-07-12,2019-12-31
"us3901",1981-01-01,2012-08-01,2012-08-02,2019-12-31
"us3903",1981-01-01,2015-12-01,2015-12-02,2019-12-31
"us3924",1981-01-01,2006-11-27,2006-11-28,2019-12-31
"us4008",1981-01-01,2012-12-18,2012-12-19,2019-12-31
"us4021",1981-01-01,2008-09-08,2008-09-09,2019-12-31
"us4024",1981-01-01,2011-01-17,2011-01-18,2019-12-31
"us4057",1981-01-01,2012-09-16,2012-09-17,2019-12-31
"us4062",1981-01-01,2013-01-27,2013-01-28,2019-12-31
"us4068",1981-01-01,2012-04-23,2012-04-24,2019-12-31
"us4070",1981-01-01,2012-11-06,2012-11-07,2019-12-31
"us4071",1981-01-01,2011-10-24,2011-10-25,2019-12-31
"us4073",1981-01-01,2012-04-23,2012-04-24,2019-12-31
"us4074",1981-01-01,2012-09-17,2012-09-18,2019-12-31
"us4079",1981-01-01,2015-07-05,2015-07-06,2019-12-31
"us4114",1981-01-01,2012-08-14,2012-08-15,2019-12-31
"us4131",1981-01-01,2009-04-29,2009-04-30,2019-12-31
"us4168",1981-01-01,2016-03-21,2016-03-22,2019-12-31
"us4170",1981-01-01,2015-01-19,2015-01-20,2019-12-31
"us4178",1981-01-01,2011-04-17,2011-04-18,2019-12-31
"us4200",1981-01-01,2009-07-28,2009-07-29,2019-12-31
"us4212",1981-01-01,2011-05-17,2011-05-18,2019-12-31
"us4219",1981-01-01,2013-03-11,2013-03-12,2019-12-31
"us4220",1981-01-01,2010-09-12,2010-09-13,2019-12-31
"us4221",1981-01-01,2011-03-01,2011-03-02,2019-12-31
"us4223",1981-01-01,2012-11-05,2012-11-06,2019-12-31
"us4237",1981-01-01,2004-10-11,2004-10-12,2019-12-31
"us4254",1981-01-01,1996-04-23,1996-04-24,2019-12-31
"us4260",1981-01-01,1996-04-22,1996-04-23,2019-12-31
"us4270",1981-01-01,2006-01-18,2006-01-19,2019-12-31
"us4271",1981-01-01,1995-12-12,1995-12-13,2019-12-31
"us4272",1981-01-01,2012-11-06,2012-11-07,2019-12-31
"us4273",1981-01-01,2012-07-10,2012-07-11,2019-12-31
"us4285",1981-01-01,1996-08-12,1996-08-13,2019-12-31
"us4287",1981-01-01,1996-05-20,1996-05-21,2019-12-31
"us4290",1981-01-01,2012-12-03,2012-12-04,2019-12-31
"us4292",1981-01-01,2012-11-06,2012-11-07,2019-12-31
"us4312",1981-01-01,1994-09-06,1994-09-07,2019-12-31
"us4314",1981-01-01,2008-08-03,2008-08-04,2019-12-31
"us4317",1981-01-01,1994-07-06,1994-07-07,2019-12-31
"us4322",1981-01-01,1994-06-28,1994-06-29,2019-12-31
"us4324",1981-01-01,1994-06-28,1994-06-29,2019-12-31
"us4327",1981-01-01,1994-07-12,1994-07-13,2019-12-31
"us4345",1981-01-01,1994-03-29,1994-03-30,2019-12-31
"us4349",1981-01-01,1994-02-15,1994-02-16,2019-12-31
"us4351",1981-01-01,1994-05-10,1994-05-11,2019-12-31
"us4353",1981-01-01,1993-02-01,1993-02-02,2019-12-31
"us4355",1981-01-01,1992-08-03,1992-08-04,2019-12-31
"us4356",1981-01-01,1991-12-17,1991-12-18,2019-12-31
"us4414",1981-01-01,2014-07-17,2014-07-18,2019-12-31
"us4513",1981-01-01,2017-03-20,2017-03-21,2019-12-31
"us4520",1981-01-01,2015-02-10,2015-02-11,2019-12-31
"us4531",1981-01-01,2007-05-01,2007-05-02,2019-12-31
"us4538",1981-01-01,2011-11-07,2011-11-08,2019-12-31
"us4546",1981-01-01,2012-11-13,2012-11-14,2019-12-31
"us4555",1981-01-01,2007-10-29,2007-10-30,2019-12-31
"us4562",1981-01-01,2015-08-25,2015-08-26,2019-12-31
"us4567",1981-01-01,2006-09-27,2006-09-28,2019-12-31
"us4569",1981-01-01,2011-10-24,2011-10-25,2019-12-31
"us4570",1981-01-01,2012-05-24,2012-05-25,2019-12-31
"us4571",1981-01-01,2012-06-19,2012-06-20,2019-12-31
"us4572",1981-01-01,2010-07-14,2010-07-15,2019-12-31
"us4574",1981-01-01,2011-07-13,2011-07-14,2019-12-31
"us4575",1981-01-01,2009-10-27,2009-10-28,2019-12-31
"us4577",1981-01-01,2011-07-12,2011-07-13,2019-12-31
"us4578",1981-01-01,2010-06-08,2010-06-09,2019-12-31
"us4586",1981-01-01,2010-11-09,2010-11-10,2019-12-31
"us4587",1981-01-01,2011-10-04,2011-10-05,2019-12-31
"us4590",1981-01-01,2010-01-12,2010-01-13,2019-12-31
"us4591",1981-01-01,2013-01-07,2013-01-08,2019-12-31
"us4592",1981-01-01,2011-10-23,2011-10-24,2019-12-31
"us4600",1981-01-01,2011-01-19,2011-01-20,2019-12-31
"us4601",1981-01-01,2011-12-19,2011-12-20,2019-12-31
"us4602",1981-01-01,2012-11-04,2012-11-05,2019-12-31
"us4603",1981-01-01,2009-09-14,2009-09-15,2019-12-31
"us4608",1981-01-01,2015-03-10,2015-03-11,2019-12-31
"us4639",1981-01-01,1992-01-27,1992-01-28,2019-12-31
"us4661",1981-01-01,2012-04-09,2012-04-10,2019-12-31
"us4663",1981-01-01,2011-08-08,2011-08-09,2019-12-31
"us4700",1981-01-01,2010-06-15,2010-06-16,2019-12-31
"us4703",1981-01-01,2013-03-10,2013-03-11,2019-12-31
"us4720",1981-01-01,2005-04-05,2005-04-06,2019-12-31
"us4722",1981-01-01,2004-09-01,2004-09-02,2019-12-31
"us4833",1981-01-01,2012-02-14,2012-02-15,2019-12-31
"us4836",1981-01-01,2012-02-14,2012-02-15,2019-12-31
"us4853",1981-01-01,2013-11-11,2013-11-12,2019-12-31
"us4856",1981-01-01,2016-06-26,2016-06-27,2019-12-31
"us4859",1981-01-01,1994-09-05,1994-09-06,2019-12-31
"us4868",1981-01-01,2007-08-08,2007-08-09,2019-12-31
"us4923",1981-01-01,2016-04-11,2016-04-12,2019-12-31
"us4924",1981-01-01,2000-03-01,2000-03-02,2019-12-31
"us4948",1981-01-01,2014-04-07,2014-04-08,2019-12-31
"us4949",1981-01-01,2013-08-13,2013-08-14,2019-12-31
"us4951",1981-01-01,2009-09-13,2009-09-14,2019-12-31
"us4957",1981-01-01,1996-10-16,1996-10-17,2019-12-31
"us4959",1981-01-01,2009-01-06,2009-01-07,2019-12-31
"us4962",1981-01-01,2015-09-02,2015-09-03,2019-12-31
"us5010",1981-01-01,2015-01-12,2015-01-13,2019-12-31
"us5011",1981-01-01,2015-03-09,2015-03-10,2019-12-31
"us5035",1981-01-01,2010-11-29,2010-11-30,2019-12-31
"us5046",1981-01-01,2011-05-25,2011-05-26,2019-12-31
"us5056",1981-01-01,2012-04-30,2012-05-01,2019-12-31
"us5173",1981-01-01,2016-10-06,2016-10-07,2019-12-31
"us5178",1981-01-01,2012-07-04,2012-07-05,2019-12-31
"us5190",1981-01-01,2017-07-19,2017-07-20,2019-12-31
"us5204",1981-01-01,2017-08-28,2017-08-29,2019-12-31
"us5213",1981-01-01,2010-01-12,2010-01-13,2019-12-31
"us5217",1981-01-01,2010-10-04,2010-10-05,2019-12-31
"us5250",1981-01-01,2010-10-20,2010-10-21,2019-12-31
"us5260",1981-01-01,2012-10-21,2012-10-22,2019-12-31
"us5273",1981-01-01,2010-03-21,2010-03-22,2019-12-31
"us5315",1981-01-01,2013-05-19,2013-05-20,2019-12-31
"us5316",1981-01-01,2010-10-31,2010-11-01,2019-12-31
"us5324",1981-01-01,2013-03-31,2013-04-01,2019-12-31
"us5368",1981-01-01,2013-09-15,2013-09-16,2019-12-31
"us5369",1981-01-01,2013-03-18,2013-03-19,2019-12-31
"us5381",1981-01-01,2002-11-14,2002-11-15,2019-12-31
"us5386",1981-01-01,2009-08-23,2009-08-24,2019-12-31
"us5387",1981-01-01,2012-09-05,2012-09-06,2019-12-31
"us5388",1981-01-01,2005-10-18,2005-10-19,2019-12-31
"us5389",1981-01-01,2010-05-18,2010-05-19,2019-12-31
"us5390",1981-01-01,2011-05-15,2011-05-16,2019-12-31
"us5392",1981-01-01,1999-04-12,1999-04-13,2019-12-31
"us5399",1981-01-01,2010-10-19,2010-10-20,2019-12-31
"us5400",1981-01-01,2015-09-02,2015-09-03,2019-12-31
"us5401",1981-01-01,2014-12-08,2014-12-09,2019-12-31
"us5402",1981-01-01,2016-02-01,2016-02-02,2019-12-31
"us5403",1981-01-01,2008-08-27,2008-08-28,2019-12-31
"us5408",1981-01-01,2004-07-06,2004-07-07,2019-12-31
"us5415",1981-01-01,2012-10-15,2012-10-16,2019-12-31
"us5417",1981-01-01,2008-03-23,2008-03-24,2019-12-31
"us5418",1981-01-01,2007-12-17,2007-12-18,2019-12-31
"us5419",1981-01-01,2012-10-31,2012-11-01,2019-12-31
"us5425",1981-01-01,2011-06-12,2011-06-13,2019-12-31
"us5440",1981-01-01,2011-07-04,2011-07-05,2019-12-31
"us5441",1981-01-01,2013-07-15,2013-07-16,2019-12-31
"us5446",1981-01-01,2011-03-13,2011-03-14,2019-12-31
"us5455",1981-01-01,2004-12-29,2004-12-30,2019-12-31
"us5459",1981-01-01,2006-06-06,2006-06-07,2019-12-31
"us5479",1981-01-01,1993-02-17,1993-02-18,2019-12-31
"us5484",1981-01-01,2014-04-08,2014-04-09,2019-12-31
"us5486",1981-01-01,NA,NA,2019-12-31
"us5488",1981-01-01,2012-07-08,2012-07-09,2019-12-31
"us5492",1981-01-01,1999-12-14,1999-12-15,2019-12-31
"us5495",1981-01-01,2016-12-04,2016-12-05,2019-12-31
"us5497",1981-01-01,2017-01-02,2017-01-03,2019-12-31
"us5498",1981-01-01,2013-11-11,2013-11-12,2019-12-31
"us5500",1981-01-01,2012-08-29,2012-08-30,2019-12-31
"us5503",1981-01-01,2011-11-28,2011-11-29,2019-12-31
"us5504",1981-01-01,2012-08-29,2012-08-30,2019-12-31
"us5506",1981-01-01,2015-07-12,2015-07-13,2019-12-31
"us5510",1981-01-01,2014-01-08,2014-01-09,2019-12-31
"us5511",1981-01-01,2014-12-07,2014-12-08,2019-12-31
"us5512",1981-01-01,2011-08-28,2011-08-29,2019-12-31
"us5514",1981-01-01,2013-05-12,2013-05-13,2019-12-31
"us5524",1981-01-01,1999-06-15,1999-06-16,2019-12-31
"us5536",1981-01-01,1999-03-03,1999-03-04,2019-12-31
"us5553",1981-01-01,2010-05-31,2010-06-01,2019-12-31
"us5554",1981-01-01,2015-02-24,2015-02-25,2019-12-31
"us5558",1981-01-01,2015-04-07,2015-04-08,2019-12-31
"us5646",1981-01-01,2018-01-08,2018-01-09,2019-12-31
"us5648",1981-01-01,2013-10-21,2013-10-22,2019-12-31
"us5649",1981-01-01,2016-04-11,2016-04-12,2019-12-31
"us5650",1981-01-01,2013-11-04,2013-11-05,2019-12-31
"us5651",1981-01-01,2010-05-18,2010-05-19,2019-12-31
"us5652",1981-01-01,2016-04-11,2016-04-12,2019-12-31
"us5653",1981-01-01,2008-01-22,2008-01-23,2019-12-31
"us5654",1981-01-01,2008-01-22,2008-01-23,2019-12-31
"us5657",1981-01-01,2015-05-24,2015-05-25,2019-12-31
"us5658",1981-01-01,2014-10-09,2014-10-10,2019-12-31
"us5659",1981-01-01,2013-04-17,2013-04-18,2019-12-31
